Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1920,EST,0,24.416666666666668,173.58333333333334,72.41666666666667,6,12,0,12,0,0,12
1920,FIN,0,27.64516129032258,176.1290322580645,73.41935483870968,94,62,0,62,0,1,61
1920,FRA,0,24.446428571428573,172.83928571428572,70.07142857142857,52,56,2,43,11,0,56
1920,GBR,0,31.7,174.5,72.03333333333333,26,30,0,25,5,0,30
1920,GRE,0,24.5,178.0,72.5,0,4,0,4,0,0,4
1920,ITA,0,20.22222222222222,177.55555555555554,66.22222222222223,22,9,0,7,2,0,9
1920,JPN,0,28.666666666666668,164.66666666666666,60.666666666666664,4,3,0,3,0,0,3
1920,LUX,0,22.0,176.0,80.0,0,1,0,0,1,0,1
1920,NED,0,17.0,184.0,78.0,0,1,0,1,0,0,1
1920,NOR,0,24.4,179.6,76.4,4,10,0,10,0,0,10
1920,RSA,0,25.0,177.33333333333334,67.5,9,6,0,6,0,0,6
1920,SUI,0,18.0,175.0,63.0,0,1,0,1,0,0,1
1920,SWE,0,25.596491228070175,177.82456140350877,71.24561403508773,28,57,0,57,0,0,57
1920,TCH,0,23.2,179.2,70.8,0,5,0,5,0,0,5
1920,USA,0,24.48148148148148,177.78518518518518,72.78518518518518,172,135,0,121,14,0,135
1924,ARG,0,23.571428571428573,183.42857142857142,78.0,3,7,0,7,0,0,7
1924,AUS,0,31.357142857142858,175.42857142857142,70.0,7,14,0,11,3,0,14
1924,AUT,0,21.0,164.0,72.0,0,1,0,1,0,0,1
1924,BEL,0,30.09090909090909,177.54545454545453,76.36363636363636,2,11,0,6,5,0,11
1924,BRA,0,25.0,181.0,70.0,0,2,0,2,0,0,2
1924,BUL,0,25.0,172.0,66.0,0,1,0,1,0,0,1
1924,CAN,0,24.125,168.5,78.5,17,8,0,2,6,0,8
1924,CHI,0,24.0,171.0,61.0,0,1,0,1,0,0,1
1924,ESP,0,25.0,173.8,69.6,0,5,0,5,0,0,5
1924,EST,0,23.88,173.68,71.68,4,25,0,18,7,0,25
1924,FIN,0,28.477064220183486,175.0183486238532,70.6697247706422,136,109,0,109,0,1,108
1924,FRA,73,25.438356164383563,173.41095890410958,72.4931506849315,69,73,0,52,21,1,72
1924,GBR,0,27.6,177.1,71.33333333333333,20,30,0,28,2,0,30
1924,GRE,0,26.0,183.33333333333334,83.33333333333333,0,3,0,3,0,0,3
1924,HAI,0,20.5,171.0,63.5,0,4,0,4,0,0,4
1924,HUN,0,26.22222222222222,177.44444444444446,70.44444444444444,2,9,0,8,1,0,9
1924,ITA,0,24.181818181818183,171.1818181818182,67.27272727272727,12,11,0,10,1,0,11
1924,JPN,0,22.25,167.75,64.75,0,4,0,4,0,0,4
1924,LUX,0,19.0,185.0,88.0,0,1,0,1,0,0,1
1924,NED,0,22.875,173.5,65.25,1,8,0,8,0,0,8
