Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1972,MGL,0,26.46808510638298,168.91489361702128,66.63829787234043,2,47,0,47,0,1,46
1972,MLI,0,29.666666666666668,183.0,83.66666666666667,0,3,0,3,0,0,3
1972,MLT,0,30.0,162.33333333333334,62.333333333333336,0,3,0,3,0,0,3
1972,MON,0,40.0,177.0,75.6,0,5,0,5,0,0,5
1972,MYA,0,23.263157894736842,168.42105263157896,58.68421052631579,0,19,0,6,13,0,19
1972,NCA,0,23.4,163.6,59.7,0,10,0,10,0,2,8
1972,NED,0,22.895604395604394,177.24725274725276,71.4010989010989,28,182,36,97,49,71,111
1972,NGR,0,24.96969696969697,172.96969696969697,69.27272727272727,1,33,0,33,0,11,22
1972,NOR,0,24.516363636363636,177.0,70.86545454545454,47,275,43,191,41,75,200
1972,NZL,0,25.424657534246574,178.8904109589041,75.57534246575342,41,73,0,57,16,8,65
1972,PAK,0,24.434782608695652,173.52173913043478,72.80434782608695,30,23,0,8,15,0,23
1972,PAN,0,27.8,172.6,64.6,0,5,0,5,0,0,5
1972,PAR,0,29.0,173.0,74.0,0,2,0,2,0,0,2
1972,PER,0,21.642857142857142,172.25,71.85714285714286,0,28,0,24,4,4,24
1972,PHI,0,23.704225352112676,171.59154929577466,66.30985915492958,0,71,0,35,36,8,63
1972,POL,0,24.301652892561982,174.2479338842975,70.4452479338843,139,484,96,293,95,93,391
1972,POR,0,30.0,173.41176470588235,70.20588235294117,0,34,0,34,0,0,34
1972,PRK,0,24.89887640449438,164.51685393258427,61.68539325842696,18,89,58,31,0,20,69
1972,PUR,0,25.49122807017544,178.75438596491227,76.64912280701755,0,57,0,45,12,0,57
1972,ROU,0,24.43071161048689,174.25093632958803,70.06367041198502,59,267,86,143,38,63,204
1972,SEN,0,26.258064516129032,180.80645161290323,74.19354838709677,0,31,0,20,11,0,31
1972,SGP,0,22.444444444444443,168.44444444444446,57.44444444444444,0,9,0,6,3,3,6
1972,SMR,0,28.571428571428573,180.0,77.28571428571429,0,7,0,7,0,0,7
1972,SOM,0,24.75,176.75,65.0,0,4,0,4,0,0,4
1972,SRI,0,25.333333333333332,167.5,55.5,0,6,0,6,0,0,6
1972,SUD,0,23.0,170.0,65.0,0,2,0,2,0,0,2
1972,SUI,0,24.165697674418606,172.80232558139534,67.48837209302326,57,344,80,208,56,89,255
1972,SUR,0,19.0,168.33333333333334,63.666666666666664,0,3,0,3,0,0,3
1972,SWE,0,24.8,177.94035087719297,71.66666666666667,52,285,5,197,83,74,211
1972,SWZ,0,34.0,170.5,71.0,0,4,0,4,0,0,4
1972,SYR,0,31.0,166.4,59.8,0,5,0,5,0,1,4
1972,TAN,0,22.95,171.55,61.25,0,20,0,20,0,0,20
1972,TCH,0,24.68955223880597,175.36119402985074,72.71044776119403,79,335,108,174,53,82,253
1972,THA,0,29.13888888888889,167.13888888888889,61.361111111111114,0,36,0,36,0,0,36
1972,TOG,0,22.166666666666668,172.66666666666666,66.5,0,6,0,6,0,0,6
1972,TPE,0,21.557692307692307,170.84615384615384,63.98076923076923,0,52,0,39,13,14,38
1972,TTO,0,22.82857142857143,177.4,72.88571428571429,0,35,0,32,3,1,34
1972,TUN,0,23.333333333333332,178.8181818181818,72.81818181818181,2,33,10,10,13,0,33
1972,TUR,0,25.84,173.42,69.12,2,50,0,46,4,1,49
1972,UGA,0,25.542857142857144,173.25714285714287,66.85714285714286,6,35,0,18,17,2,33
1972,URS,0,24.947284345047922,174.54153354632587,71.54313099041534,735,626,108,377,141,170,456
1972,URU,0,22.7,170.15,66.95,0,20,0,15,5,7,13
1972,USA,0,23.450625869262865,176.95549374130738,71.10987482614743,488,719,84,442,193,198,521
1972,VEN,0,21.96875,174.3125,67.53125,0,32,0,22,10,8,24
1972,VNM,0,43.0,162.0,53.0,0,1,0,1,0,0,1
1972,YUG,0,24.5,175.2941176470588,72.0126050420168,64,238,84,88,66,45,193
1972,ZAM,0,21.166666666666668,168.5,58.25,0,12,0,12,0,4,8
1976,AHO,0,25.0,174.5,66.0,0,2,0,2,0,0,2
1976,AND,0,28.333333333333332,174.66666666666666,78.0,0,3,0,3,0,0,3
1976,ANT,0,24.071428571428573,178.64285714285714,71.64285714285714,0,14,0,14,0,0,14
1976,ARG,0,24.574468085106382,175.37234042553192,74.04255319148936,0,94,0,60,34,18,76
1976,AUS,0,24.172932330827066,177.08646616541353,71.38721804511279,37,266,19,154,93,71,195
1976,AUT,66,26.06474820143885,177.24460431654677,74.72302158273381,11,139,0,117,22,19,120
1976,BAH,0,23.6875,180.4375,74.4375,0,16,0,16,0,2,14
1976,BAR,0,23.235294117647058,170.41176470588235,66.17647058823529,0,17,0,17,0,3,14
1976,BEL,0,22.653061224489797,175.25850340136054,68.78911564625851,12,147,10,97,40,53,94
1976,BER,0,25.0,176.7,74.0,1,20,0,20,0,1,19
1976,BIZ,0,44.333333333333336,175.33333333333334,66.66666666666667,0,3,0,3,0,0,3
1976,BOL,0,30.8,173.4,67.4,0,5,0,5,0,0,5
1976,BRA,0,23.75862068965517,177.66666666666666,73.01149425287356,3,87,12,44,31,10,77
1976,BUL,0,22.2984496124031,170.32558139534885,66.63565891472868,76,258,84,162,12,88,170
1976,CAN,482,22.960151802656547,175.2068311195446,68.48007590132828,33,527,74,310,143,225,302
1976,CAY,0,24.5,177.0,77.0,0,2,0,2,0,0,2
1976,CHI,0,27.77777777777778,174.22222222222223,69.44444444444444,0,9,0,9,0,0,9
1976,CIV,0,20.333333333333332,174.33333333333334,64.66666666666667,0,6,0,6,0,2,4
1976,CMR,0,24.5,174.0,68.5,0,2,0,2,0,0,2
1976,COL,0,23.41860465116279,164.13953488372093,61.81395348837209,0,43,0,33,10,6,37
1976,CRC,0,24.0,170.1,60.9,0,10,0,5,5,5,5
1976,CUB,0,23.575129533678755,176.84455958549222,74.02590673575129,46,193,38,119,36,30,163
1976,DEN,0,26.7875,177.675,71.8875,17,80,7,56,17,12,68
1976,DOM,0,20.818181818181817,166.9090909090909,56.72727272727273,0,11,0,11,0,2,9
1976,ECU,0,21.714285714285715,176.28571428571428,72.71428571428571,0,7,0,3,4,0,7
1976,EGY,0,24.692307692307693,183.19230769230768,74.15384615384616,0,26,12,5,9,0,26
1976,ESP,0,23.08176100628931,171.75471698113208,68.40880503144655,12,159,36,71,52,26,133
1976,FIJ,0,24.0,167.0,56.0,0,2,0,2,0,2,0
1976,FIN,0,26.27807486631016,178.16042780748663,74.44385026737967,61,187,0,167,20,32,155
1976,FRA,0,24.55757575757576,174.06363636363636,68.27575757575758,43,330,63,230,37,61,269
1976,FRG,0,24.5196261682243,176.75327102803737,71.44112149532711,207,535,84,332,119,141,394
1976,GBR,0,24.69836956521739,175.1576086956522,69.46195652173913,66,368,36,270,62,114,254
1976,GDR,0,22.192460317460316,174.25,69.6329365079365,626,504,96,303,105,216,288
1976,GRE,0,26.487179487179485,174.66666666666666,72.41025641025641,0,39,0,39,0,2,37
1976,GUA,0,24.964285714285715,173.42857142857142,66.82142857142857,0,28,0,11,17,2,26
1976,HAI,0,24.714285714285715,170.14285714285714,65.35714285714286,0,14,0,14,0,3,11
1976,HKG,0,26.729166666666668,173.0625,61.625,0,48,0,42,6,4,44
1976,HON,0,22.0,167.33333333333334,57.666666666666664,0,3,0,3,0,0,3
1976,HUN,0,23.76736111111111,172.84722222222223,67.46180555555556,103,288,96,140,52,93,195
1976,INA,0,27.285714285714285,164.14285714285714,59.57142857142857,0,7,0,7,0,3,4
1976,IND,0,26.666666666666668,171.08333333333334,65.29166666666667,0,24,0,8,16,0,24
1976,IRI,0,25.514018691588785,172.89719626168224,70.5233644859813,3,107,0,81,26,7,100
1976,IRL,0,24.68421052631579,175.71929824561403,71.59649122807018,0,57,0,50,7,5,52
1976,ISL,0,23.833333333333332,182.33333333333334,87.33333333333333,0,6,0,6,0,1,5
1976,ISR,0,24.806451612903224,172.6451612903226,72.09677419354838,0,31,7,9,15,2,29
1976,ISV,0,27.7,175.65,70.8,0,20,0,17,3,4,16
1976,ITA,0,24.1938202247191,175.15168539325842,70.26685393258427,70,356,69,233,54,75,281
1976,JAM,0,22.944444444444443,173.11111111111111,62.75,6,36,0,36,0,19,17
1976,JPN,0,24.56575682382134,168.67990074441687,64.37717121588089,122,403,108,198,97,119,284
1976,KOR,0,23.389830508474578,172.33898305084745,67.47457627118644,21,59,24,35,0,16,43
1976,KSA,0,22.894736842105264,175.89473684210526,71.73684210526316,0,19,0,19,0,0,19
1976,KUW,0,21.0,172.4375,68.125,0,16,0,16,0,0,16
1976,LIB,0,20.666666666666668,178.33333333333334,90.66666666666667,0,3,0,3,0,0,3
1976,LIE,0,20.80952380952381,173.42857142857142,70.28571428571429,2,21,0,21,0,6,15
1976,LUX,0,29.0,177.8,72.4,0,5,0,5,0,0,5
1976,MAR,0,25.25,172.625,60.75,0,8,0,8,0,0,8
1976,MAS,0,25.2,172.16,61.8,0,25,0,7,18,0,25
1976,MEX,0,24.1171875,174.1484375,68.2421875,5,128,10,65,53,15,113
1976,MGL,0,26.3125,171.34375,68.25,2,32,0,32,0,1,31
1976,MON,0,43.714285714285715,174.71428571428572,75.57142857142857,0,7,0,7,0,0,7
1976,NCA,0,22.818181818181817,170.27272727272728,65.36363636363636,0,11,0,11,0,0,11
1976,NED,0,23.166666666666668,175.80459770114942,68.87931034482759,27,174,36,84,54,91,83
1976,NEP,0,23.0,162.0,50.0,0,1,0,1,0,0,1
1976,NOR,0,24.48427672955975,180.49685534591194,74.99371069182389,41,159,0,148,11,26,133
1976,NZL,0,25.0,177.44444444444446,72.72222222222223,71,90,0,63,27,19,71
1976,PAK,0,24.736842105263158,173.78947368421052,68.5,16,19,0,3,16,0,19
1976,PAN,0,21.88888888888889,172.22222222222223,67.11111111111111,0,9,0,6,3,3,6
1976,PAR,0,33.666666666666664,172.66666666666666,71.33333333333333,0,3,0,3,0,0,3
1976,PER,0,21.571428571428573,170.21428571428572,62.857142857142854,0,14,12,2,0,14,0
1976,PHI,0,24.176470588235293,167.2941176470588,57.0,0,17,0,9,8,0,17
1976,PNG,0,23.333333333333332,167.44444444444446,57.111111111111114,0,9,0,9,0,0,9
1976,POL,0,24.688654353562004,174.89709762532982,71.47889182058047,156,379,60,264,55,60,319
1976,POR,0,22.695652173913043,171.7826086956522,65.73913043478261,4,23,0,16,7,0,23
1976,PRK,0,25.0,170.775,68.975,6,40,0,25,15,2,38
1976,PUR,0,23.74736842105263,175.78947368421052,69.73684210526316,1,95,0,64,31,20,75
1976,ROU,0,23.79136690647482,172.9208633093525,69.00719424460432,93,278,84,135,59,93,185
1976,SEN,0,27.379310344827587,178.93103448275863,80.62068965517241,0,29,0,29,0,3,26
1976,SGP,0,24.0,166.0,67.75,0,4,0,4,0,1,3
1976,SMR,0,28.3,175.0,73.8,0,10,0,10,0,2,8
1976,SUI,0,25.65909090909091,174.88636363636363,70.23863636363636,34,176,48,100,28,15,161
1976,SUR,0,23.0,176.0,67.33333333333333,0,3,0,3,0,0,3
1976,SWE,0,24.497925311203318,178.48547717842322,73.3195020746888,40,241,0,191,50,51,190
1976,TCH,0,24.07207207207207,175.4954954954955,72.16216216216216,61,333,96,175,62,84,249
1976,THA,0,26.56896551724138,169.1206896551724,59.94827586206897,1,58,0,52,6,7,51
1976,TPE,0,24.6,174.4,68.0,0,5,0,5,0,0,5
1976,TTO,0,23.473684210526315,176.73684210526315,70.84210526315789,4,19,0,19,0,0,19
1976,TUN,0,22.8,181.46666666666667,76.93333333333334,0,15,0,1,14,2,13
1976,TUR,0,25.636363636363637,168.0,66.63636363636364,0,33,0,33,0,1,32
1976,URS,0,24.210608424336975,175.58190327613104,72.22776911076443,857,641,108,374,159,209,432
1976,URU,0,20.4,172.4,68.6,0,5,0,3,2,3,2
1976,USA,0,22.919696969696968,176.8590909090909,70.89318181818182,454,660,84,430,146,214,446
1976,VEN,0,19.214285714285715,169.07142857142858,60.904761904761905,2,42,0,22,20,22,20
1976,YUG,0,24.381818181818183,184.25454545454545,81.85454545454546,39,110,0,52,58,5,105
1980,AFG,0,23.636363636363637,168.36363636363637,63.18181818181818,0,11,0,11,0,0,11
1980,ALG,0,23.43859649122807,175.3859649122807,69.08771929824562,0,57,0,24,33,0,57
1980,AND,0,22.0,176.6,85.2,0,5,0,5,0,0,5
1980,ANG,0,17.352941176470587,171.7058823529412,62.470588235294116,0,17,0,6,11,2,15
1980,ARG,0,24.0,175.25,68.5,0,4,0,4,0,0,4
1980,AUS,0,22.642857142857142,178.4234693877551,73.4795918367347,33,196,17,99,80,59,137
1980,AUT,0,24.266233766233768,177.16233766233765,73.07467532467533,29,154,0,121,33,36,118
1980,BEL,0,22.977011494252874,176.17241379310346,68.48275862068965,4,87,0,67,20,30,57
1980,BEN,0,24.0,169.42857142857142,62.714285714285715,0,7,0,7,0,0,7
1980,BOL,0,21.0,185.0,72.0,0,3,0,3,0,0,3
1980,BOT,0,26.0,171.75,64.0,0,8,0,8,0,0,8
1980,BRA,0,23.236486486486488,179.3716216216216,73.97972972972973,21,148,36,74,38,19,129
1980,BUL,0,22.98004987531172,174.1845386533666,69.89775561097257,157,401,105,244,52,136,265
1980,CAN,0,22.43859649122807,173.3859649122807,70.0,2,57,0,35,22,25,32
1980,CGO,0,26.6,175.0,65.8,0,10,0,10,0,0,10
1980,CHN,0,19.2,163.1,55.3,0,10,0,10,0,6,4
1980,CMR,0,25.47826086956522,173.7391304347826,72.52173913043478,0,23,0,23,0,1,22
1980,COL,0,25.0,174.03571428571428,70.78571428571429,0,28,0,7,21,0,28
1980,CRC,0,23.823529411764707,174.64705882352942,67.3529411764706,0,34,0,10,24,4,30
1980,CUB,0,23.745644599303137,176.49128919860627,74.18815331010452,51,287,71,136,80,36,251
1980,CYP,0,22.294117647058822,173.58823529411765,69.3529411764706,0,17,0,12,5,4,13
1980,DEN,0,26.616666666666667,181.86666666666667,78.68333333333334,22,60,0,44,16,4,56
1980,DOM,0,21.4,173.8,65.6,0,5,0,5,0,1,4
1980,ECU,0,19.846153846153847,174.15384615384616,68.07692307692308,0,13,0,9,4,1,12
1980,ESP,0,23.05140186915888,176.76168224299064,71.72429906542057,49,214,36,85,93,25,189
1980,ETH,0,25.541666666666668,173.0,59.083333333333336,10,48,0,48,0,2,46
1980,FIN,0,25.666666666666668,178.1238095238095,73.93809523809524,39,210,0,172,38,24,186
1980,FRA,0,23.506172839506174,175.09876543209876,68.1604938271605,89,243,48,173,22,42,201
1980,FRG,0,23.31578947368421,176.50877192982455,71.85087719298245,10,114,0,85,29,30,84
1980,GBR,0,23.133152173913043,175.48097826086956,69.7663043478261,84,368,36,256,76,117,251
1980,GDR,0,22.69858156028369,176.5709219858156,71.39716312056737,781,564,96,341,127,215,349
1980,GRE,0,23.29787234042553,176.72340425531914,76.42553191489361,8,47,0,31,16,5,42
1980,GUA,0,28.3,175.3,70.1,0,10,0,10,0,0,10
1980,GUI,0,26.666666666666668,172.5,65.33333333333333,0,6,0,6,0,0,6
1980,GUY,0,24.1,178.5,63.8,1,10,0,10,0,2,8
1980,HUN,0,24.053435114503817,174.31552162849871,68.95928753180661,102,393,96,216,81,123,270
1980,IND,0,26.39344262295082,173.72131147540983,67.31147540983606,64,61,0,33,28,3,58
1980,IRL,0,24.839285714285715,177.73214285714286,73.35714285714286,5,56,0,48,8,5,51
1980,IRQ,0,24.772727272727273,174.4090909090909,70.27272727272727,0,22,0,9,13,0,22
1980,ISL,0,25.555555555555557,188.55555555555554,90.77777777777777,0,9,0,9,0,0,9
1980,ITA,0,23.728,177.572,71.648,88,250,12,175,63,68,182
1980,JAM,0,22.78125,175.625,66.34375,3,32,0,32,0,14,18
1980,JOR,0,36.666666666666664,169.33333333333334,70.0,0,6,0,6,0,0,6
1980,JPN,0,24.582278481012658,168.70886075949366,66.10126582278481,2,79,0,58,21,9,70
1980,KOR,0,19.928571428571427,171.92857142857142,66.92857142857143,0,14,0,14,0,8,6
1980,KUW,0,20.476190476190474,172.54761904761904,70.07142857142857,0,42,0,28,14,0,42
1980,LAO,0,21.57894736842105,165.10526315789474,56.73684210526316,0,19,0,19,0,2,17
1980,LES,0,26.714285714285715,168.57142857142858,68.71428571428571,0,7,0,7,0,0,7
1980,LIB,0,25.2,173.0,77.0,1,5,0,5,0,0,5
1980,LIE,0,21.8,172.8,67.7,12,10,0,10,0,3,7
1980,LUX,0,30.666666666666668,175.33333333333334,95.33333333333333,0,3,0,3,0,0,3
1980,MAD,0,19.11764705882353,162.58823529411765,55.23529411764706,0,17,0,10,7,6,11
1980,MEX,0,24.424657534246574,167.13698630136986,60.054794520547944,11,73,5,51,17,24,49
1980,MGL,0,24.166666666666668,168.3,64.15,6,60,10,50,0,12,48
1980,MLI,0,26.666666666666668,177.66666666666666,74.0,0,3,0,3,0,0,3
1980,MLT,0,24.4,168.7,57.1,0,10,0,10,0,1,9
1980,MOZ,0,13.0,170.0,61.0,0,1,0,0,1,0,1
1980,MYA,0,28.5,163.5,69.0,0,2,0,2,0,0,2
1980,NCA,0,17.333333333333332,162.83333333333334,52.333333333333336,0,6,0,4,2,3,3
1980,NED,0,23.410958904109588,182.17808219178082,77.36301369863014,11,146,0,83,63,35,111
1980,NEP,0,23.444444444444443,164.22222222222223,53.888888888888886,0,9,0,9,0,0,9
1980,NGR,0,22.692307692307693,175.69230769230768,65.94871794871794,0,39,0,39,0,10,29
1980,NOR,0,24.3855421686747,179.25301204819277,72.57831325301204,22,83,0,67,16,16,67
1980,NZL,0,26.2,179.2,82.2,0,5,0,5,0,0,5
1980,PER,0,22.63157894736842,172.55263157894737,70.94736842105263,0,38,10,17,11,20,18
1980,POL,0,24.190371991247265,175.6870897155361,70.66630196936542,84,457,68,299,90,127,330
1980,POR,0,21.444444444444443,168.83333333333334,57.94444444444444,0,18,5,8,5,5,13
1980,PRK,0,20.71900826446281,158.19834710743802,53.446280991735534,8,121,84,37,0,38,83
1980,PUR,0,19.0,169.33333333333334,57.333333333333336,0,3,0,3,0,0,3
1980,ROU,0,24.34794520547945,174.43287671232878,69.9068493150685,104,365,106,195,64,119,246
1980,SEN,0,24.735294117647058,183.52941176470588,77.3529411764706,0,34,0,23,11,4,30
1980,SEY,0,22.761904761904763,177.52380952380952,66.61904761904762,0,21,0,21,0,4,17
1980,SLE,0,22.275862068965516,179.75862068965517,59.86206896551724,0,29,0,29,0,7,22
1980,SMR,0,28.75,174.6875,72.625,0,16,0,16,0,0,16
1980,SRI,0,28.0,172.5,59.5,0,4,0,4,0,0,4
1980,SUI,0,25.16883116883117,177.16883116883116,73.23376623376623,27,154,0,122,32,26,128
1980,SWE,0,23.974193548387095,179.61935483870968,73.80322580645161,69,310,5,205,100,75,235
1980,SYR,0,21.6,173.8,83.6,0,5,0,5,0,0,5
1980,TAN,0,24.88888888888889,169.9777777777778,64.13333333333334,4,45,0,30,15,8,37
1980,TCH,0,24.02313624678663,174.4832904884319,70.36246786632391,121,389,96,199,94,97,292
1980,TTO,0,27.133333333333333,177.4,74.53333333333333,0,15,0,15,0,0,15
1980,UGA,0,24.285714285714285,176.64285714285714,69.71428571428571,2,14,0,14,0,0,14
1980,URS,0,23.94980184940555,176.2311756935271,72.43064729194188,1233,757,105,437,215,245,512
1980,USA,144,23.21527777777778,175.19444444444446,70.67361111111111,105,144,0,116,28,41,103
1980,VEN,0,21.790697674418606,174.09302325581396,67.74418604651163,2,43,0,21,22,0,43
1980,VIE,0,23.68421052631579,164.5,58.078947368421055,0,38,0,21,17,10,28
1980,YUG,0,23.917525773195877,182.43814432989691,78.35567010309278,119,194,12,97,85,33,161
1980,ZAM,0,26.571428571428573,174.21428571428572,64.57142857142857,0,14,0,14,0,0,14
1980,ZIM,0,26.941176470588236,171.62745098039215,71.25490196078431,60,51,0,30,21,22,29
1984,AHO,0,17.88888888888889,181.11111111111111,69.77777777777777,0,9,0,4,5,3,6
1984,ALG,0,24.95,176.65,73.4,0,20,0,11,9,0,20
1984,AND,0,22.25,177.5,76.125,0,8,0,8,0,0,8
1984,ANT,0,21.03846153846154,176.53846153846155,64.76923076923077,0,26,0,26,0,8,18
1984,ARG,0,23.96,177.49333333333334,72.62666666666667,0,150,10,128,12,24,126
1984,AUS,0,23.902857142857144,177.47142857142856,72.73714285714286,87,350,24,191,135,106,244
1984,AUT,0,24.550925925925927,178.10185185185185,74.25462962962963,8,216,0,165,51,54,162
1984,BAH,0,22.06451612903226,177.32258064516128,69.46774193548387,0,31,0,25,6,8,23
1984,BAN,0,21.0,162.0,60.0,0,2,0,2,0,0,2
1984,BAR,0,23.863636363636363,180.0,70.54545454545455,0,22,0,19,3,3,19
1984,BEL,0,23.978947368421053,176.16842105263157,71.61052631578947,10,95,0,85,10,25,70
1984,BEN,0,25.333333333333332,170.66666666666666,64.33333333333333,0,3,0,3,0,0,3
1984,BER,0,25.076923076923077,181.15384615384616,74.23076923076923,0,13,0,11,2,1,12
1984,BHU,0,26.333333333333332,171.5,62.0,0,6,0,6,0,3,3
1984,BIZ,0,22.384615384615383,174.6153846153846,68.15384615384616,0,13,0,13,0,0,13
1984,BOL,0,29.1875,172.3125,64.125,0,16,0,16,0,1,15
1984,BOT,0,28.5,176.875,69.5,0,8,0,8,0,0,8
1984,BRA,0,24.454054054054055,179.23783783783784,73.18378378378378,64,185,36,88,61,28,157
1984,BRN,0,21.333333333333332,191.0,76.66666666666667,0,3,0,3,0,0,3
1984,BUL,0,23.818181818181817,175.36363636363637,71.21212121212122,0,33,0,33,0,1,32
1984,CAF,0,23.333333333333332,172.0,62.0,0,3,0,3,0,0,3
1984,CAN,0,23.50078003120125,174.9609984399376,70.06084243369735,184,641,107,354,180,253,388
1984,CAY,0,25.0,178.78571428571428,72.5,0,14,0,14,0,1,13
1984,CGO,0,27.8,174.6,63.8,0,10,0,10,0,2,8
1984,CHA,0,28.0,183.66666666666666,76.0,0,3,0,3,0,0,3
1984,CHI,0,25.96,174.48,71.32,0,25,0,24,1,4,21
1984,CHN,0,22.142857142857142,171.65142857142857,65.12857142857143,159,350,106,163,81,136,214
1984,CIV,0,24.833333333333332,175.08333333333334,68.75,2,12,0,12,0,1,11
1984,CMR,0,26.055555555555557,176.11111111111111,73.77777777777777,1,18,0,13,5,1,17
1984,COD,0,25.666666666666668,166.0,64.33333333333333,0,3,0,3,0,1,2
1984,COL,0,25.41025641025641,170.76923076923077,64.35897435897436,2,39,0,36,3,3,36
1984,CRC,0,24.0,174.13636363636363,65.68181818181819,0,22,0,16,6,1,21
1984,CYP,0,25.09090909090909,175.72727272727272,69.86363636363636,0,22,0,22,0,2,20
1984,DEN,0,25.10810810810811,182.54054054054055,77.95945945945945,16,74,0,53,21,13,61
1984,DJI,0,26.0,174.5,58.0,0,2,0,2,0,0,2
1984,DOM,0,26.142857142857142,172.71428571428572,70.71428571428571,0,7,0,7,0,3,4
1984,ECU,0,28.133333333333333,172.06666666666666,71.86666666666666,0,15,0,15,0,1,14
1984,EGY,0,24.556451612903224,178.36290322580646,77.81451612903226,2,124,12,76,36,6,118
1984,ESA,0,22.071428571428573,170.64285714285714,67.14285714285714,0,14,0,10,4,2,12
1984,ESP,0,23.451851851851853,174.3148148148148,68.6,39,270,57,138,75,53,217
1984,FIJ,0,25.23076923076923,177.69230769230768,74.42307692307692,0,26,0,13,13,8,18
1984,FIN,0,25.647058823529413,178.85561497326202,73.7566844919786,60,187,0,162,25,33,154
1984,FRA,0,24.414507772020727,175.720207253886,69.13730569948187,147,386,58,280,48,84,302
1984,FRG,0,23.898697539797396,178.58755426917511,72.44573082489146,341,691,95,395,201,220,471
1984,GAB,0,21.25,167.5,65.25,0,4,0,4,0,2,2
1984,GAM,0,25.0,172.14285714285714,65.5,0,14,0,14,0,5,9
1984,GBR,0,24.47304347826087,174.32347826086956,69.48347826086956,126,575,84,394,97,196,379
1984,GDR,0,22.733333333333334,176.53333333333333,70.6952380952381,85,105,0,93,12,33,72
1984,GEQ,0,19.2,174.2,71.6,0,5,0,5,0,0,5
1984,GHA,0,23.0,168.92592592592592,60.592592592592595,0,27,0,27,0,11,16
1984,GRE,0,23.767441860465116,178.88372093023256,80.86046511627907,3,86,0,65,21,6,80
1984,GRN,0,21.5,176.5,67.5,0,2,0,2,0,1,1
1984,GUA,0,19.735849056603772,172.77358490566039,64.33962264150944,0,53,0,24,29,14,39
1984,GUI,0,33.0,167.0,71.0,0,1,0,1,0,0,1
1984,GUY,0,24.416666666666668,173.16666666666666,64.75,0,12,0,12,0,2,10
1984,HAI,0,30.0,175.0,65.0,0,1,0,1,0,0,1
1984,HKG,0,23.735632183908045,171.82758620689654,62.67816091954023,0,87,0,57,30,27,60
1984,HON,0,33.0,166.66666666666666,58.666666666666664,0,3,0,3,0,1,2
1984,HUN,0,21.0625,175.625,70.0625,0,16,0,16,0,3,13
1984,INA,0,23.82608695652174,164.91304347826087,57.47826086956522,0,23,0,20,3,4,19
1984,IND,0,24.903846153846153,169.40384615384616,64.78846153846153,0,52,0,37,15,10,42
1984,IRL,0,24.692307692307693,173.17307692307693,65.5,2,52,0,50,2,17,35
1984,IRQ,0,25.666666666666668,174.33333333333334,79.0,0,3,0,1,2,0,3
1984,ISL,0,22.68888888888889,181.35555555555555,78.86666666666666,1,45,0,21,24,6,39
1984,ISR,0,21.892307692307693,168.73846153846154,60.2,0,65,24,32,9,19,46
1984,ISV,0,24.4,178.32,70.38,0,50,0,22,28,6,44
1984,ITA,0,23.956709956709958,177.17316017316017,72.14935064935065,164,462,38,306,118,103,359
1984,IVB,0,28.0,181.41666666666666,73.16666666666667,0,12,0,12,0,0,12
1984,JAM,0,21.616438356164384,176.63013698630138,70.38356164383562,12,73,0,57,16,22,51
1984,JOR,0,26.214285714285715,173.57142857142858,69.5,0,14,0,14,0,1,13
1984,JPN,0,23.422727272727272,169.31136363636364,64.39545454545454,89,440,108,235,97,117,323
1984,KEN,0,25.29268292682927,173.1951219512195,66.21951219512195,5,41,0,34,7,5,36
1984,KOR,0,21.402173913043477,171.29710144927537,66.34057971014492,87,276,80,151,45,79,197
1984,KSA,0,22.1875,170.4375,66.25,0,16,0,1,15,0,16
1984,KUW,0,20.84,175.96,71.48,0,25,0,24,1,0,25
1984,LBR,0,21.0,172.0,60.6,0,10,0,10,0,1,9
1984,LES,0,29.2,168.4,62.2,0,5,0,5,0,0,5
1984,LIB,0,23.375,173.83333333333334,70.66666666666667,0,24,0,18,6,1,23
1984,LIE,0,22.869565217391305,173.7391304347826,69.3913043478261,1,23,0,23,0,5,18
1984,LUX,0,35.2,174.6,79.6,0,5,0,5,0,1,4
1984,MAD,0,23.8,169.2,61.8,0,5,0,5,0,0,5
1984,MAR,0,25.51851851851852,174.92592592592592,69.81481481481481,8,27,0,12,15,1,26
1984,MAS,0,23.653846153846153,169.84615384615384,63.57692307692308,0,26,0,7,19,4,22
1984,MAW,0,25.91304347826087,165.2173913043478,64.3913043478261,0,23,0,23,0,0,23
1984,MEX,0,23.943037974683545,171.06962025316454,63.78164556962025,15,158,7,114,37,41,117
1984,MGL,0,28.25,173.75,70.5,0,12,0,12,0,0,12
1984,MLI,0,24.5,182.5,76.0,0,2,0,2,0,0,2
1984,MLT,0,26.857142857142858,171.71428571428572,69.71428571428571,0,7,0,7,0,2,5
1984,MON,0,28.9,180.7,73.7,0,10,0,9,1,0,10
1984,MOZ,0,26.0,176.0,65.84615384615384,0,13,0,10,3,2,11
1984,MRI,0,19.571428571428573,181.0,74.28571428571429,0,7,0,7,0,1,6
1984,MTN,0,24.0,185.0,90.0,0,1,0,1,0,0,1
1984,MYA,0,26.0,167.0,60.0,0,1,0,1,0,0,1
